id,lat,lon,name,docks
324,40.689888,-73.981013,"DeKalb Av & Hudson Av",51
325,40.73624527,-73.98473765,"E 19 Street and 3 Avenue",35
326,40.72953837,-73.98426726,"E 11 Street & 1 Avenue",27
327,40.7153379,-74.01658354,"Vesey Pl & River Terrace",39
328,40.72405549,-74.00965965,"Watts St & Greenwich St",23
329,40.72043411,-74.01020609,"Greenwich St & N Moore St",31
330,40.71450451,-74.00562789,"Reade Street & Broadway",39
331,40.71173107,-73.99193043,"Pike St & Monroe St",27
332,40.71219906,-73.97948148,"Cherry Street",24
334,40.74238787,-73.99726235,"W 20 Street & 7 Avenue",31
335,40.72903917,-73.99404649,"xWashington Pl & Broadway",27
336,40.73047747,-73.99906065,"Sullivan St & Washington Sq",36
337,40.7037992,-74.00838676,"Old Slip and Front Street",37
339,40.72580614,-73.97422494,"Avenue D & E 12 Street",24
340,40.71269042,-73.98776323,"Madison & Clinton",27
341,40.71782143,-73.97628939,"Stanton St & Mangin St",19
342,40.71739973,-73.98016555,"Columbia St & Rivington St",29
343,40.69794,-73.96986848,"Clinton Av & Flushing Av",21
344,40.6851443,-73.95380904,"Monroe St & Bedford Av",23
345,40.73649403,-73.99704374,"W 13 Street & 6 Avenue",35
346,40.73652889,-74.00618026,"Bank St & Hudson St",27
347,40.72873888,-74.00748842,"W Houston St & Hudson St",35
348,40.72490985,-74.00154702,"West Broadway & Spring St",42
349,40.71850211,-73.98329859,"Rivington St and Ridge St",23
350,40.71559509,-73.9870295,"Clinton St & Grand St",28
351,40.70530954,-74.00612572,"Front St & Pine St",39
352,40.76340613,-73.97722479,"W 56 Street and 6 Avenue",36
353,40.68539567,-73.97431458,"S Portland Av & Hanson Pl",27
354,40.69363137,-73.96223558,"Myrtle Av & Emerson Pl",28
355,40.71602118,-73.99974372,"Bayard St & Baxter St",43
356,40.71622644,-73.98261206,"Bialystoker Pl & Delancey St",23
357,40.73261787,-73.99158043,"E 11 Street & Broadway",26
358,40.73291553,-74.00711384,"Christopher & Greenwich St",36
359,40.75510267,-73.97498696,"E 47 St and Park Av",55
360,40.70717936,-74.00887308,"William St & Pine St",39
361,40.71605866,-73.99190759,"Allen St & Hester St",43
362,40.75172632,-73.98753523,"Broadway and W 37 Street",57
363,40.70834698,-74.01713445,"West Thames Street",49
364,40.68900443,-73.96023854,"Lafayette Av & Classon Av",27
365,40.68223166,-73.9614583,"Fulton St & Grand Av",31
366,40.693261,-73.968896,"Clinton Av & Myrtle Av",33
367,40.75828065,-73.97069431,"E 53 St and Lexington Av",34
368,40.73038599,-74.00214988,"Carmine St & 6 Av",39
369,40.73224119,-74.00026394,"Washington Pl & 6 Av",39
372,40.694528,-73.958089,"Franklin & Myrtle Ave",27
373,40.69331716,-73.95381995,"Willoughby Av & Walworth",19
375,40.72679454,-73.99695094,"Mercer St & Bleecker St",30
376,40.70862144,-74.00722156,"John St & William St",43
377,40.72243797,-74.00566443,"6 Avenue & Canal Street",47
380,40.73401143,-74.00293877,"W 4 St & 7 Av South",39
382,40.73492695,-73.99200509,"University Pl & E 14 St",36
383,40.73625106,-74.00083692,"Greenwich Av & 7 Av",41
384,40.68317813,-73.9659641,"Fulton St & Waverly Av",31
386,40.71494807,-74.00234482,"Centre St & Worth St",43
387,40.71273266,-74.0046073,"Centre St & Chambers St",39
389,40.71044554,-73.96525063,"Broadway and Berry",27
390,40.69221589,-73.9842844,"Duffield St & Willoughby St",31
391,40.69760127,-73.99344559,"Clark St & Henry St",31
392,40.69507866,-73.9872478,"Jay St and Tech Pl",35
393,40.72299208,-73.97995466,"E 5 Street & Avenue C",31
394,40.72521311,-73.97768752,"E 9 Street & Avenue C",36
395,40.68807003,-73.98410637,"Bond St & Schermerhorn St",30
396,40.680342423,-73.9557689392,"Lefferts Pl & Franklin Av",25
397,40.68415748,-73.96922273,"Fulton St & Clermont Av",27
398,40.69165183,-73.9999786,"Atlantic Av & Furman St",31
399,40.68851534,-73.9647628,"St. James Pl & Lafayette Av",26
400,40.71926081,-73.98178024,"Pitt St & Stanton St",15
401,40.72019576,-73.98997825,"Allen St & Rivington St",41
402,40.7403432,-73.98955109,"Broadway & E 22 St",42
403,40.72502876,-73.99069656,"E 2 Street and 2 Avenue",31
404,40.7405826,-74.00550867,"9 Avenue & W 14 Street",39
405,40.73943587,-74.00787235,"Gansevoort & Washington",37
406,40.69512845,-73.99595065,"Hicks St & Montague St",34
407,40.70010145,-73.99104388,"Cadman Plz W & Middagh",23
408,40.71076228,-73.99400398,"Market St & Cherry St",23
410,40.72066442,-73.98517977,"Suffolk St & Stanton St",35
411,40.72228087,-73.97668709,"E 6 Street & Avenue D",23
412,40.7158155,-73.99422366,"Forsyth St & Canal St",29
414,40.70281858,-73.98765762,"Pearl St & Anchorage Pl",24
415,40.7047177,-74.00926027,"Pearl St & Hanover Sq",42
416,40.68753406,-73.97265183,"Cumberland St & Lafayette",31
417,40.71291224,-74.01020234,"Barclay St & Church St",47
